id,name,title,photo,specialties,insurance,city,state,zip,gender,languages,bio,therapyTypes,sessionTypes,modalities,ageMin,ageMax
1,Dr. Sarah Mitchell,Licensed Clinical Psychologist,https://randomuser.me/api/portraits/women/44.jpg,"Anxiety, Depression, PTSD","Aetna, Blue Cross Blue Shield, United Healthcare",Pembroke Pines,FL,33024,Female,"English, Spanish","With over 15 years of experience, Dr. Mitchell specializes in evidence-based treatments for anxiety and depression. She uses CBT and EMDR to help clients build resilience.","Individual, Couples/Marriage","In-Person, Telehealth","CBT, EMDR, Mindfulness-Based",18,65
2,Dr. James Okonkwo,"Psychiatrist, MD",https://randomuser.me/api/portraits/men/32.jpg,"Bipolar Disorder, Depression, ADHD","Cigna, Medicare, United Healthcare",Pembroke Pines,FL,33024,Male,"English, French","Dr. Okonkwo is a board-certified psychiatrist who integrates medication management with therapeutic approaches for comprehensive mental health care.","Individual, Psychological Testing","In-Person, Telehealth","CBT, Psychodynamic",16,70
3,"Maria Santos, LCSW",Licensed Clinical Social Worker,https://randomuser.me/api/portraits/women/68.jpg,"Trauma, Grief & Loss, Family Conflict","Medicaid, Blue Cross Blue Shield, Humana",Pembroke Pines,FL,33024,Female,"English, Spanish, Portuguese","Maria brings a compassionate, culturally sensitive approach to therapy. She specializes in trauma recovery and helping families navigate difficult transitions.","Individual, Family Therapy",In-Person,"Person-Centered, Narrative Therapy, EFT",10,65
4,Dr. Kevin Park,"Clinical Psychologist, PhD",https://randomuser.me/api/portraits/men/75.jpg,"OCD, Anxiety, Stress Management","Kaiser Permanente, Aetna, Cigna",Pembroke Pines,FL,33024,Male,"English, Korean","Dr. Park is recognized for his expertise in OCD treatment using ERP therapy. He creates a supportive environment where clients can confront and overcome intrusive thoughts.",Individual,"In-Person, Telehealth","CBT, ERP, Mindfulness-Based",14,60
5,"Taylor Rivera, LPC",Licensed Professional Counselor,https://randomuser.me/api/portraits/women/90.jpg,"Self-Esteem, Life Transitions, Relationship Issues","United Healthcare, Out of Pocket",Pembroke Pines,FL,33024,Non-binary,English,"Taylor provides a safe, affirming space for individuals navigating identity, relationships, and personal growth. They use person-centered and narrative therapy approaches.","Individual, Couples/Marriage",Telehealth,"Person-Centered, Narrative Therapy, Solution-Focused",18,55
6,Dr. Lisa Chen,"Psychiatrist, MD",https://randomuser.me/api/portraits/women/52.jpg,"Eating Disorders, Anxiety, Depression","Blue Cross Blue Shield, Aetna, Medicare",Pembroke Pines,FL,33024,Female,"English, Mandarin","Dr. Chen combines psychiatric expertise with holistic wellness strategies. She has extensive experience treating eating disorders and co-occurring mood conditions.","Individual, Psychological Testing","In-Person, Telehealth","CBT, DBT, Mindfulness-Based",16,65
7,"Marcus Johnson, LMFT",Licensed Marriage & Family Therapist,https://randomuser.me/api/portraits/men/46.jpg,"Family Conflict, Relationship Issues, Stress Management","Humana, Cigna, United Healthcare",Pembroke Pines,FL,33024,Male,English,"Marcus is passionate about strengthening family bonds and improving communication. He uses Gottman Method and EFT to help couples and families thrive.","Couples/Marriage, Family Therapy",In-Person,"Gottman Method, EFT, Solution-Focused",12,70
8,Dr. Amira Hassan,Licensed Clinical Psychologist,https://randomuser.me/api/portraits/women/37.jpg,"PTSD, Trauma, Anxiety","Aetna, Medicaid, Out of Pocket",Pembroke Pines,FL,33024,Female,"English, Arabic","Dr. Hassan is a trauma specialist who works with survivors of violence, displacement, and complex PTSD. She provides culturally responsive, evidence-based care.",Individual,"In-Person, Telehealth","EMDR, CBT, Psychodynamic",18,65
9,"Chris Nguyen, LPC",Licensed Professional Counselor,https://randomuser.me/api/portraits/men/22.jpg,"Addiction, Depression, Stress Management","Blue Cross Blue Shield, Medicaid, Humana",Pembroke Pines,FL,33024,Male,English,"Chris specializes in addiction recovery and dual-diagnosis treatment. He uses motivational interviewing and relapse prevention strategies to support lasting change.","Individual, Family Therapy",In-Person,"Motivational Interviewing, CBT, Solution-Focused",18,65
10,Dr. Emily Foster,"Clinical Psychologist, PsyD",https://randomuser.me/api/portraits/women/15.jpg,"ADHD, Anxiety, Life Transitions","United Healthcare, Kaiser Permanente, Cigna",Pembroke Pines,FL,33024,Female,English,"Dr. Foster helps adults and adolescents with ADHD develop practical strategies for focus, organization, and emotional regulation in daily life.","Individual, Psychological Testing","In-Person, Telehealth","CBT, Mindfulness-Based, Solution-Focused",10,50
11,"Roberto Alvarez, LCSW",Licensed Clinical Social Worker,https://randomuser.me/api/portraits/men/56.jpg,"Grief & Loss, Depression, Family Conflict","Medicaid, Humana, Out of Pocket",Pembroke Pines,FL,33024,Male,"English, Spanish","Roberto provides compassionate grief counseling and family therapy. He draws from his bilingual, bicultural background to connect with diverse communities.","Individual, Family Therapy","In-Person, Telehealth","Person-Centered, Narrative Therapy",12,70
12,Dr. Rachel Goldstein,"Psychiatrist, MD",https://randomuser.me/api/portraits/women/82.jpg,"Bipolar Disorder, Depression, Anxiety","Aetna, Blue Cross Blue Shield, Medicare",Pembroke Pines,FL,33024,Female,English,"Dr. Goldstein is a compassionate psychiatrist specializing in mood disorders. She believes in collaborative treatment planning and empowering patients in their recovery.",Individual,"In-Person, Telehealth","CBT, Psychodynamic, DBT",18,65
13,"Jordan Blake, LMFT",Licensed Marriage & Family Therapist,https://randomuser.me/api/portraits/men/85.jpg,"Relationship Issues, Self-Esteem, Stress Management","Cigna, United Healthcare, Out of Pocket",Pembroke Pines,FL,33024,Male,"English, Spanish","Jordan creates a warm, non-judgmental space for individuals and couples to explore patterns, improve communication, and build stronger connections.","Individual, Couples/Marriage",In-Person,"Gottman Method, EFT, Person-Centered",18,65
14,Dr. Priya Sharma,Licensed Clinical Psychologist,https://randomuser.me/api/portraits/women/63.jpg,"Trauma, Addiction, PTSD","Blue Cross Blue Shield, Aetna, Medicaid",Pembroke Pines,FL,33024,Female,English,"Dr. Sharma integrates trauma-informed care with addiction treatment. Her holistic approach addresses root causes while building coping skills for sustainable recovery.",Individual,"In-Person, Telehealth","EMDR, CBT, Motivational Interviewing",18,60
15,"Alex Moreno, LPC",Licensed Professional Counselor,https://randomuser.me/api/portraits/men/11.jpg,"Anxiety, OCD, Self-Esteem","Humana, Medicare, Out of Pocket",Pembroke Pines,FL,33024,Male,"English, Spanish","Alex helps clients manage anxiety and OCD through exposure therapy and mindfulness techniques. He is dedicated to making mental health support accessible to all.",Individual,"In-Person, Telehealth","ERP, CBT, Mindfulness-Based",14,55
16,Dr. Naomi Williams,"Clinical Psychologist, PhD",https://randomuser.me/api/portraits/women/26.jpg,"Depression, Grief & Loss, Life Transitions","Kaiser Permanente, United Healthcare, Cigna",Pembroke Pines,FL,33024,Female,"English, French","Dr. Williams helps clients navigate depression and life changes with warmth and insight. She uses integrative therapy to support emotional healing and personal growth.","Individual, Couples/Marriage","In-Person, Telehealth","Psychodynamic, Person-Centered, Mindfulness-Based",18,70
